Row,ID #,Species,Bird Height,Foraging Location,Mixed Location,Combined Location,Foraging Behavior,Substrate type,Canopy height,% Height in Canopy
154,90,PRAW,0.5,G,G,G,G,B,10,0.05
247,128,YRWA,0,G,G,G,S,G,10,0.00
316,156,PAWA,0,G,G,G,K,L,10,0.00
317,156,PAWA,0,G,G,G,K,L,10,0.00
318,156,PAWA,0,G,G,G,K,L,10,0.00
571,253,YRWA,0,G,G,G,K,R,10,0.00
572,253,YRWA,0,G,G,G,K,R,10,0.00
573,253,YRWA,0,G,G,G,K,R,10,0.00
574,253,YRWA,0,G,G,G,K,R,10,0.00
575,254,YRWA,0,G,G,G,K,R,10,0.00
576,254,YRWA,0,G,G,G,K,R,10,0.00
278,141,OVEN,0,G,G,G,K,T,10,0.00
279,141,OVEN,0,G,G,G,S,T,10,0.00
217,110,YRWA,0,G,G,G,S,T,11,0.00
219,111,PAWA,0,G,G,G,S,T,11,0.00
240,126,OVEN,0,G,G,G,K,G,12,0.00
241,126,OVEN,0,G,G,G,K,G,12,0.00
242,126,OVEN,0,G,G,G,K,G,12,0.00
243,126,OVEN,0,G,G,G,K,G,12,0.00
244,126,OVEN,0,G,G,G,K,G,12,0.00
245,127,OVEN,0,G,G,G,K,G,12,0.00
246,127,OVEN,0,G,G,G,K,G,12,0.00
301,151,YRWA,0,G,G,G,K,G,12,0.00
306,152,YRWA,0,G,G,G,K,G,12,0.00
340,161,PAWA,0,G,G,G,F,L,12,0.00
339,161,PAWA,0,G,G,G,K,L,12,0.00
341,161,PAWA,0,G,G,G,K,L,12,0.00
343,163,PAWA,0,G,G,G,S,L,12,0.00
344,163,PAWA,0,G,G,G,S,L,12,0.00
345,163,PAWA,0,G,G,G,S,L,12,0.00
489,212,OVEN,0,G,G,G,S,LL,12,0.00
393,180,YRWA,0,G,G,G,K,L,13,0.00
394,180,YRWA,0,G,G,G,K,L,13,0.00
395,180,YRWA,0,G,G,G,K,L,13,0.00
396,180,YRWA,0,G,G,G,K,R,13,0.00
399,181,YRWA,0,G,G,G,K,R,13,0.00
231,119,YRWA,0,G,G,G,K,G,14,0.00
235,123,YRWA,0,G,G,G,K,G,14,0.00
236,123,YRWA,0,G,G,G,K,G,14,0.00
237,124,YRWA,0,G,G,G,K,G,14,0.00
238,124,YRWA,0,G,G,G,K,G,14,0.00
549,246,YRWA,0,G,G,G,F,G,15,0.00
551,246,YRWA,0,G,G,G,F,G,15,0.00
552,246,YRWA,0,G,G,G,F,G,15,0.00
553,246,YRWA,0,G,G,G,F,G,15,0.00
550,246,YRWA,0,G,G,G,K,G,15,0.00
556,247,PRAW,0,G,G,G,K,G,15,0.00
504,219,OVEN,0,G,G,G,K,LL,15,0.00
503,219,OVEN,0,G,G,G,S,LL,15,0.00
555,246,YRWA,0,G,G,G,F,,15,0.00
554,246,YRWA,0,G,G,G,K,,15,0.00
228,117,OVEN,0,G,G,G,K,G,17,0.00
26,22,YRWA,0,G,G,G,H,G,,
132,73,YRWA,0,G,G,G,K,G,,
133,74,YRWA,0,G,G,G,K,G,,
187,98,PAWA,0,G,G,G,K,G,,
668,291,YRWA,0,G,G,G,K,G,,
666,290,YRWA,0,G,G,G,S,G,,
194,100,YRWA,0,G,G,G,K,L,,
195,100,YRWA,0,G,G,G,K,L,,
196,100,YRWA,0,G,G,G,K,L,,
197,100,YRWA,0,G,G,G,K,L,,
200,101,YRWA,0,G,G,G,K,L,,
333,160,PAWA,0,G,G,G,K,L,,
193,99,YRWA,0,G,G,G,K,T,,
470,204,YRWA,0,G,G,G,K,V,,
471,204,YRWA,0,G,G,G,K,V,,
461,202,AMRE,0.5,L,L,L,H,B,2,0.25
460,201,PRAW,2,OL,OL,L,H,B,2,1.00
146,84,YRWA,0.5,OL,OL,L,G,B,3,0.17
150,87,NOPA,0.5,OL,OL,L,G,B,3,0.17
142,81,YRWA,1,UL,UL,L,G,B,3,0.33
139,79,YRWA,0.5,OL,OL,L,H,B,3,0.17
140,79,YRWA,0.5,OL,OL,L,H,B,3,0.17
144,83,YRWA,0.5,OL,OL,L,H,B,3,0.17
143,82,YRWA,1,OL,OL,L,P,B,3,0.33
442,195,PRAW,3,OL,OL,L,G,B,5,0.60
665,287,BWVI,4,OL,OL,L,G,B,5,0.80
443,195,PRAW,3,UL,UL,L,G,B,5,0.60
452,198,PRAW,3,UL,UL,L,G,B,5,0.60
441,195,PRAW,3,OL,OL,L,P,B,5,0.60
326,158,PAWA,0,OL,OL,L,G,G,5,0.00
327,158,PAWA,0,UL,UL,L,G,G,5,0.00
449,197,NOPA,4,L,L,L,G,T,5,0.80
446,195,PRAW,4,OL,OL,L,G,T,5,0.80
450,197,NOPA,4,OL,OL,L,G,T,5,0.80
444,195,PRAW,4,UL,UL,L,G,T,5,0.80
433,192,PRAW,2,OL,OL,L,G,B,6,0.33
434,192,PRAW,2,OL,OL,L,G,B,6,0.33
437,192,PRAW,2,OL,OL,L,G,B,6,0.33
225,114,BWVI,1.8,UL,UL,L,G,B,6,0.30
435,192,PRAW,2,UL,UL,L,G,B,6,0.33
459,200,PRAW,4,OL,OL,L,G,T,6,0.67
510,223,CMWA,3,UL,UL,L,G,T,6,0.50
71,45,NOPA,4,UL,UL,L,H,T,6,0.67
438,193,AMRE,6,OL,OL,L,P,T,6,1.00
508,222,CMWA,2,OL,OL,L,G,S,7,0.29
220,112,NOPA,5,OL,OL,L,G,T,7,0.71
221,112,NOPA,5,OL,OL,L,G,T,7,0.71
188,98,PAWA,6,OL,OL,L,G,T,7,0.86
190,98,PAWA,6,OL,OL,L,G,T,7,0.86
191,98,PAWA,6,OL,OL,L,G,T,7,0.86
545,241,BWVI,4,UL,UL,L,G,T,7,0.57
222,112,NOPA,5,UL,UL,L,G,T,7,0.71
189,98,PAWA,6,OL,OL,L,H,T,7,0.86
268,137,PRAW,3,OL,OL,L,G,B,8,0.38
267,137,PRAW,4,OL,OL,L,G,B,8,0.50
587,258,BBTO,2,L,L,L,H,S,8,0.25
588,258,BBTO,2,L,L,L,H,S,8,0.25
506,221,BBTO,3,OL,OL,L,F,T,8,0.38
505,220,BBTO,4,OL,OL,L,F,T,8,0.50
634,274,BBTO,4,OL,OL,L,F,T,8,0.50
636,274,BBTO,5,OL,OL,L,F,T,8,0.63
56,37,NOPA,4,OL,OL,L,G,T,8,0.50
321,157,PRAW,4,OL,OL,L,G,T,8,0.50
323,157,PRAW,4,OL,OL,L,G,T,8,0.50
630,272,NOPA,4,OL,OL,L,G,T,8,0.50
529,229,CMWA,4,OL,OL,L,G,T,8,0.50
530,229,CMWA,4,OL,OL,L,G,T,8,0.50
531,229,CMWA,4,OL,OL,L,G,T,8,0.50
642,276,BWVI,6,OL,OL,L,G,T,8,0.75
637,275,BWVI,7,OL,OL,L,G,T,8,0.88
641,276,BWVI,7,OL,OL,L,G,T,8,0.88
331,159,AMRE,3,UL,UL,L,G,T,8,0.38
526,228,NOPA,3,UL,UL,L,G,T,8,0.38
329,159,AMRE,4,UL,UL,L,G,T,8,0.50
330,159,AMRE,4,UL,UL,L,G,T,8,0.50
527,229,CMWA,4,UL,UL,L,G,T,8,0.50
388,179,BWVI,6,UL,UL,L,G,T,8,0.75
638,275,BWVI,7,UL,UL,L,G,T,8,0.88
528,229,CMWA,4,UL,UL,L,G,T,8,0.50
108,64,AMRE,0.8,UL,UL,L,H,B,9,0.09
288,146,PAWA,3,OL,OL,L,F,G,9,0.33
473,205,YRWA,0.5,OL,OL,L,G,GC,9,0.06
476,206,YRWA,0.2,UL,UL,L,G,GC,9,0.02
369,174,PAWA,0.3,UL,UL,L,G,GC,9,0.03
370,174,PAWA,0.3,UL,UL,L,G,GC,9,0.03
475,206,YRWA,0.2,OL,OL,L,H,GC,9,0.02
257,132,YRWA,3,OL,OL,L,F,T,9,0.33
255,131,BBTO,5,OL,OL,L,F,T,9,0.56
655,281,BBTO,5,OL,OL,L,F,T,9,0.56
650,279,BBTO,6,OL,OL,L,F,T,9,0.67
651,279,BBTO,6,OL,OL,L,F,T,9,0.67
652,279,BBTO,6,OL,OL,L,F,T,9,0.67
35,27,NOPA,3.5,UL,UL,L,F,T,9,0.39
137,77,AMRE,2,OL,OL,L,G,T,9,0.22
258,132,YRWA,4,OL,OL,L,G,T,9,0.44
273,139,AMRE,4,OL,OL,L,G,T,9,0.44
623,269,YRWA,4,OL,OL,L,G,T,9,0.44
271,139,AMRE,5,OL,OL,L,G,T,9,0.56
275,139,AMRE,5,OL,OL,L,G,T,9,0.56
619,268,PRAW,5,OL,OL,L,G,T,9,0.56
620,268,PRAW,5,OL,OL,L,G,T,9,0.56
629,271,BAWW,6,OL,OL,L,G,T,9,0.67
653,280,NOPA,6,OL,OL,L,G,T,9,0.67
657,282,NOPA,7,OL,OL,L,G,T,9,0.78
402,183,CMWA,8,OL,OL,L,G,T,9,0.89
660,283,CMWA,8,OL,OL,L,G,T,9,0.89
40,30,NOPA,9,OL,OL,L,G,T,9,1.00
38,29,NOPA,1.5,UL,UL,L,G,T,9,0.17
39,29,NOPA,1.5,UL,UL,L,G,T,9,0.17
107,63,NOPA,3,UL,UL,L,G,T,9,0.33
34,27,NOPA,3.5,UL,UL,L,G,T,9,0.39
274,139,AMRE,4,UL,UL,L,G,T,9,0.44
621,268,PRAW,5,UL,UL,L,G,T,9,0.56
658,282,NOPA,7,UL,UL,L,G,T,9,0.78
659,283,CMWA,7,UL,UL,L,G,T,9,0.78
138,78,YRWA,3,OL,OL,L,H,T,9,0.33
259,133,YRWA,5,OL,OL,L,H,T,9,0.56
661,284,CMWA,7,OL,OL,L,H,T,9,0.78
36,27,NOPA,3.5,UL,UL,L,H,T,9,0.39
625,270,CMWA,7,OL,OL,L,S,T,9,0.78
94,55,NOPA,2,OL,OL,L,G,B,10,0.20
168,93,PRAW,0.3,UL,UL,L,G,B,10,0.03
155,90,PRAW,0.5,UL,UL,L,G,B,10,0.05
157,90,PRAW,0.5,UL,UL,L,G,B,10,0.05
606,265,NOPA,8,UL,UL,L,G,S,10,0.80
281,142,AMRE,4,OL,OL,L,F,T,10,0.40
286,145,BBTO,4,OL,OL,L,F,T,10,0.40
262,135,BBTO,6,OL,OL,L,F,T,10,0.60
253,130,BBTO,7,OL,OL,L,F,T,10,0.70
88,53,NOPA,8,OL,OL,L,F,T,10,0.80
252,130,BBTO,8,OL,OL,L,F,T,10,0.80
130,72,NOPA,2,OL,OL,L,G,T,10,0.20
280,142,AMRE,2,OL,OL,L,G,T,10,0.20
282,143,PRAW,2,OL,OL,L,G,T,10,0.20
586,257,BWVI,4,OL,OL,L,G,T,10,0.40
602,262,BWVI,5,OL,OL,L,G,T,10,0.50
95,56,NOPA,6,OL,OL,L,G,T,10,0.60
261,134,AMRE,6,OL,OL,L,G,T,10,0.60
264,136,BWVI,6,OL,OL,L,G,T,10,0.60
86,53,NOPA,7,OL,OL,L,G,T,10,0.70
285,144,NOPA,7,OL,OL,L,G,T,10,0.70
440,194,NOPA,7,OL,OL,L,G,T,10,0.70
87,53,NOPA,8,OL,OL,L,G,T,10,0.80
308,154,CMWA,9,OL,OL,L,G,T,10,0.90
